Issue Key,Summary,Issue Type,Fix Version,Epic Link,Epic Name,Priority,Assignee Persona,Labels,Acceptance Criteria,Evidence Required,Description
S04-VT-04,S04-VT-04 — Backlog traces to requirements,Test,S04 Product Definition & Release Slicing,,,P2,Swapnali / QA,stage-s04 validation-test,No orphan story; no uncovered R0 requirement,E3/E4,Method: Query both directions. Pass: No orphan story; no uncovered R0 requirement
S04-VT-05,S04-VT-05 — Dependencies are known,Test,S04 Product Definition & Release Slicing,,,P2,Swapnali / QA,stage-s04 validation-test,A viable critical path exists with no cycles,E3/E4,Method: Attempt to sequence the backlog. Pass: A viable critical path exists with no cycles
S04-VT-06,S04-VT-06 — Enablers are visible,Test,S04 Product Definition & Release Slicing,,,P2,Swapnali / QA,stage-s04 validation-test,"Non-zero, sized, and scheduled",E3/E4,"Method: Count foundation and platform stories in the backlog. Pass: Non-zero, sized, and scheduled"
S04-VT-07,S04-VT-07 — KPIs are instrumentable,Test,S04 Product Definition & Release Slicing,,,P2,Swapnali / QA,stage-s04 validation-test,100%,E3/E4,"Method: For each KPI, name the emitting system and the story that adds it. Pass: 100%"
S04-G1,"S04-G1 — R0 scope defined: in, out with triggers, and never",Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,"R0 scope defined: in, out with triggers, and never",E2,Evidence artefact: Signed scope document
S04-G2,S04-G2 — PRD approved for R0,Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,PRD approved for R0,E2,Evidence artefact: Signed PRD
S04-G3,"S04-G3 — Backlog decomposed, prioritised, sized, dependency-mapped",Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,"Backlog decomposed, prioritised, sized, dependency-mapped",E1,Evidence artefact: Backlog with dependency register
S04-G4,S04-G4 — DoR and DoD agreed and published,Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,DoR and DoD agreed and published,E2,Evidence artefact: Signed definitions
S04-G5,S04-G5 — R0 delivers standalone business value,Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,R0 delivers standalone business value,E2,Evidence artefact: Walkthrough record confirming a complete sale is possible
S04-G6,S04-G6 — KPIs defined with measurement mechanisms,Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,KPIs defined with measurement mechanisms,E1,Evidence artefact: KPI definitions naming source systems
S04-G7,S04-G7 — Technical enablers visible in the backlog and scheduled,Task,S04 Product Definition & Release Slicing,,,P1,Kalpana / Delivery,stage-s04 gate-criterion,Technical enablers visible in the backlog and scheduled,E1,Evidence artefact: Backlog query showing foundation items
S05-E01,S05-E01 — Service blueprint,Epic,S05 Experience Design & Service Blueprint,,S05-E01,P2,Design + Rajal,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E01-S01,S05-E01-S01 — Blueprint each journey front-stage,Story,S05 Experience Design & Service Blueprint,S05-E01,,P2,Design + Rajal,stage-s05 lifecycle-story,What the actor sees at every step of every journey variant,,What the actor sees at every step of every journey variant
S05-E01-S02,S05-E01-S02 — Blueprint back-stage,Story,S05 Experience Design & Service Blueprint,S05-E01,,P2,Design + Rajal,stage-s05 lifecycle-story,"Supporting actions, systems and hand-offs behind each front-stage step",,"Supporting actions, systems and hand-offs behind each front-stage step"
S05-E01-S03,S05-E01-S03 — Map the moments of truth,Story,S05 Experience Design & Service Blueprint,S05-E01,,P2,Design + Rajal,stage-s05 lifecycle-story,Where the sale is won or lost; where an obligation binds,,Where the sale is won or lost; where an obligation binds
S05-E01-S04,S05-E01-S04 — Design the assisted/customer hand-off,Story,S05 Experience Design & Service Blueprint,S05-E01,,P2,Design + Rajal,stage-s05 lifecycle-story,"The RM-device to customer-device transition for consent and payment — a regulatory requirement, and the hardest UX in the product",,"The RM-device to customer-device transition for consent and payment — a regulatory requirement, and the hardest UX in the product"
S05-E02,S05-E02 — Interaction design,Epic,S05 Experience Design & Service Blueprint,,S05-E02,P2,Design,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E02-S01,S05-E02-S01 — Wireframe every journey step,Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,Every wireframe references a requirement ID (closes GAP-009),,Every wireframe references a requirement ID (closes GAP-009)
S05-E02-S02,S05-E02-S02 — Design the need-analysis and suitability flow,Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,"Regulated questionnaire rendered so it is completed honestly, not clicked through",,"Regulated questionnaire rendered so it is completed honestly, not clicked through"
S05-E02-S03,S05-E02-S03 — Design multi-quote comparison,Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,Comparison basis visible; ranking rules disclosed; no dark patterns,,Comparison basis visible; ranking rules disclosed; no dark patterns
S05-E02-S04,S05-E02-S04 — Design proposal capture,Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,Progressive disclosure; pre-fill from CIF/KYC; save and resume,,Progressive disclosure; pre-fill from CIF/KYC; save and resume
S05-E02-S05,S05-E02-S05 — Design the payment hand-off,Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,"QR/SMS link to the customer's device; RM sees status, never the payment surface",,"QR/SMS link to the customer's device; RM sees status, never the payment surface"
S05-E02-S06,"S05-E02-S06 — Design status, tracking and document access",Story,S05 Experience Design & Service Blueprint,S05-E02,,P2,Design,stage-s05 lifecycle-story,Post-sale visibility — the capability the legacy model lacks entirely,,Post-sale visibility — the capability the legacy model lacks entirely
S05-E03,S05-E03 — Design system,Epic,S05 Experience Design & Service Blueprint,,S05-E03,P2,Design,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E03-S01,S05-E03-S01 — Define the component library,Story,S05 Experience Design & Service Blueprint,S05-E03,,P2,Design,stage-s05 lifecycle-story,Reusable Flutter-ready components with states and variants,,Reusable Flutter-ready components with states and variants
S05-E03-S02,S05-E03-S02 — Define the design tokens,Story,S05 Experience Design & Service Blueprint,S05-E03,,P2,Design,stage-s05 lifecycle-story,"Colour, type, spacing, elevation — with accessible contrast proven",,"Colour, type, spacing, elevation — with accessible contrast proven"
S05-E03-S03,S05-E03-S03 — Define responsive behaviour,Story,S05 Experience Design & Service Blueprint,S05-E03,,P2,Design,stage-s05 lifecycle-story,"Mobile, tablet and web; RM tablet use in a branch is a primary case",,"Mobile, tablet and web; RM tablet use in a branch is a primary case"
S05-E03-S04,S05-E03-S04 — Define the interaction and motion standard,Story,S05 Experience Design & Service Blueprint,S05-E03,,P2,Design,stage-s05 lifecycle-story,"Consistent, and cheap enough to render on mid-range devices",,"Consistent, and cheap enough to render on mid-range devices"
S05-E04,S05-E04 — Content and regulated copy,Epic,S05 Experience Design & Service Blueprint,,S05-E04,P2,Rajal + Shailja,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E04-S01,S05-E04-S01 — Write consent statements,Story,S05 Experience Design & Service Blueprint,S05-E04,,P2,Rajal + Shailja,stage-s05 lifecycle-story,"Exact wording, versioned, Compliance-approved, matching the S02 consent pack",,"Exact wording, versioned, Compliance-approved, matching the S02 consent pack"
S05-E04-S02,S05-E04-S02 — Write regulatory disclosures,Story,S05 Experience Design & Service Blueprint,S05-E04,,P2,Rajal + Shailja,stage-s05 lifecycle-story,"Placement, prominence and acknowledgement mechanism defined",,"Placement, prominence and acknowledgement mechanism defined"
S05-E04-S03,S05-E04-S03 — Write the error and exception copy,Story,S05 Experience Design & Service Blueprint,S05-E04,,P2,Rajal + Shailja,stage-s05 lifecycle-story,Every failure path has copy that tells the actor what to do next,,Every failure path has copy that tells the actor what to do next
S05-E04-S04,S05-E04-S04 — Define language and vernacular strategy,Story,S05 Experience Design & Service Blueprint,S05-E04,,P2,Rajal + Shailja,stage-s05 lifecycle-story,"Which languages at R0, and how content is versioned per language",,"Which languages at R0, and how content is versioned per language"
S05-E05,S05-E05 — Accessibility and inclusion,Epic,S05 Experience Design & Service Blueprint,,S05-E05,P2,Design,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E05-S01,S05-E05-S01 — Set the accessibility standard,Story,S05 Experience Design & Service Blueprint,S05-E05,,P2,Design,stage-s05 lifecycle-story,A named conformance target with a testing method,,A named conformance target with a testing method
S05-E05-S02,S05-E05-S02 — Design for low-literacy and assisted use,Story,S05 Experience Design & Service Blueprint,S05-E05,,P2,Design,stage-s05 lifecycle-story,The RM-assisted journey serves customers who will not read a screen,,The RM-assisted journey serves customers who will not read a screen
S05-E05-S03,S05-E05-S03 — Design for poor connectivity,Story,S05 Experience Design & Service Blueprint,S05-E05,,P2,Design,stage-s05 lifecycle-story,Branch and field connectivity is unreliable; define offline and retry behaviour,,Branch and field connectivity is unreliable; define offline and retry behaviour
S05-E06,S05-E06 — Validation with real users,Epic,S05 Experience Design & Service Blueprint,,S05-E06,P2,Design + Rajal,stage-s05 lifecycle-epic,,,Epic of stage S05 (Experience Design & Service Blueprint). See docs/application-lifecycle-bible/stages/.
S05-E06-S01,S05-E06-S01 — Prototype the primary journey,Story,S05 Experience Design & Service Blueprint,S05-E06,,P2,Design + Rajal,stage-s05 lifecycle-story,Clickable prototype covering the complete RM-assisted Term journey,,Clickable prototype covering the complete RM-assisted Term journey
S05-E06-S02,S05-E06-S02 — Test with real RMs,Story,S05 Experience Design & Service Blueprint,S05-E06,,P2,Design + Rajal,stage-s05 lifecycle-story,≥ 5 practising RMs complete the journey unaided,,≥ 5 practising RMs complete the journey unaided
S05-E06-S03,S05-E06-S03 — Test with real customers,Story,S05 Experience Design & Service Blueprint,S05-E06,,P2,Design + Rajal,stage-s05 lifecycle-story,≥ 5 representative customers complete the customer-device steps,,≥ 5 representative customers complete the customer-device steps
S05-E06-S04,S05-E06-S04 — Iterate on findings,Story,S05 Experience Design & Service Blueprint,S05-E06,,P2,Design + Rajal,stage-s05 lifecycle-story,"Findings logged, prioritised, and either fixed or explicitly deferred",,"Findings logged, prioritised, and either fixed or explicitly deferred"
S05-VT-01,S05-VT-01 — Every requirement has a screen,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,No requirement with no interface,E3/E4,Method: Traverse R0 requirements against wireframes. Pass: No requirement with no interface
S05-VT-02,S05-VT-02 — Every screen has a requirement,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,No unrequested screen — this is where scope creep enters,E3/E4,Method: Traverse wireframes against requirements. Pass: No unrequested screen — this is where scope creep enters
S05-VT-03,S05-VT-03 — RMs can complete the journey unaided,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,≥ 80% complete without help; time-on-task recorded,E3/E4,"Method: Usability test, 5+ RMs. Pass: ≥ 80% complete without help; time-on-task recorded"
S05-VT-04,S05-VT-04 — The device hand-off is understood,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,Customers understand what they are approving without RM explanation,E3/E4,Method: Observe the consent and payment hand-off. Pass: Customers understand what they are approving without RM explanation
S05-VT-05,S05-VT-05 — Regulated copy is approved,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,"100% approved, versioned",E3/E4,"Method: Compliance reviews every consent and disclosure string. Pass: 100% approved, versioned"
S05-VT-06,S05-VT-06 — Accessibility target is met,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,Conformance achieved or gaps logged with owners,E3/E4,Method: Audit the prototype against the standard. Pass: Conformance achieved or gaps logged with owners
S05-VT-07,S05-VT-07 — Failure paths have copy,Test,S05 Experience Design & Service Blueprint,,,P2,Swapnali / QA,stage-s05 validation-test,Every failure path has actionable copy,E3/E4,Method: Traverse the exception catalogue. Pass: Every failure path has actionable copy
S05-G1,S05-G1 — Service blueprint complete for R0 journeys,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Service blueprint complete for R0 journeys,E1,Evidence artefact: Blueprint
S05-G2,S05-G2 — Wireframes mapped to requirement IDs,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Wireframes mapped to requirement IDs,E1,Evidence artefact: Traceability map — closes GAP-009
S05-G3,S05-G3 — Design system published and adoptable,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Design system published and adoptable,E1,Evidence artefact: Component library + tokens
S05-G4,S05-G4 — Regulated copy approved by Compliance,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Regulated copy approved by Compliance,E2,"Evidence artefact: Signed copy deck, versioned"
S05-G5,S05-G5 — Accessibility standard set and prototype conformant,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Accessibility standard set and prototype conformant,E3,Evidence artefact: Audit report
S05-G6,S05-G6 — Prototype validated with real RMs and customers,Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,Prototype validated with real RMs and customers,E3,Evidence artefact: Usability test report with findings and disposition
S05-G7,"S05-G7 — Error, empty and degraded states catalogued",Task,S05 Experience Design & Service Blueprint,,,P1,Kalpana / Delivery,stage-s05 gate-criterion,"Error, empty and degraded states catalogued",E1,Evidence artefact: State catalogue
S06-E01,S06-E01 — Bounded context map,Epic,S06 Domain & Information Architecture,,S06-E01,P2,Mahesh,stage-s06 lifecycle-epic,,,Epic of stage S06 (Domain & Information Architecture). See docs/application-lifecycle-bible/stages/.
S06-E01-S01,S06-E01-S01 — Derive contexts from capabilities,Story,S06 Domain & Information Architecture,S06-E01,,P2,Mahesh,stage-s06 lifecycle-story,Every context traces to capabilities; every capability lands in exactly one context,,Every context traces to capabilities; every capability lands in exactly one context
S06-E01-S02,S06-E01-S02 — Define context relationships,Story,S06 Domain & Information Architecture,S06-E01,,P2,Mahesh,stage-s06 lifecycle-story,"Upstream/downstream, conformist, anti-corruption layer, shared kernel — named per pair",,"Upstream/downstream, conformist, anti-corruption layer, shared kernel — named per pair"
S06-E01-S03,S06-E01-S03 — Define the language boundary per context,Story,S06 Domain & Information Architecture,S06-E01,,P2,Mahesh,stage-s06 lifecycle-story,"Where the same word means different things, and how it translates at the seam",,"Where the same word means different things, and how it translates at the seam"
S06-E01-S04,S06-E01-S04 — Justify each context's existence,Story,S06 Domain & Information Architecture,S06-E01,,P2,Mahesh,stage-s06 lifecycle-story,Each context has a distinct reason to change. A context that always changes with another is not a context,,Each context has a distinct reason to change. A context that always changes with another is not a context
S06-E02,S06-E02 — Aggregate and state design,Epic,S06 Domain & Information Architecture,,S06-E02,P2,Mahesh,stage-s06 lifecycle-epic,,,Epic of stage S06 (Domain & Information Architecture). See docs/application-lifecycle-bible/stages/.
S06-E02-S01,S06-E02-S01 — Identify aggregates per context,Story,S06 Domain & Information Architecture,S06-E02,,P2,Mahesh,stage-s06 lifecycle-story,Consistency boundary stated: what must be transactionally consistent,,Consistency boundary stated: what must be transactionally consistent
S06-E02-S02,S06-E02-S02 — Define the state machine per aggregate,Story,S06 Domain & Information Architecture,S06-E02,,P2,Mahesh,stage-s06 lifecycle-story,"States, permitted transitions, triggers, and terminal states",,"States, permitted transitions, triggers, and terminal states"
S06-E02-S03,S06-E02-S03 — Define invariants per aggregate,Story,S06 Domain & Information Architecture,S06-E02,,P2,Mahesh,stage-s06 lifecycle-story,What must always be true; which are enforced where,,What must always be true; which are enforced where
S06-E02-S04,S06-E02-S04 — Define aggregate identity and lifecycle,Story,S06 Domain & Information Architecture,S06-E02,,P2,Mahesh,stage-s06 lifecycle-story,"How it is created, identified, referenced across contexts, and archived",,"How it is created, identified, referenced across contexts, and archived"
S06-E02-S05,S06-E02-S05 — Design the journey state machine,Story,S06 Domain & Information Architecture,S06-E02,,P2,Mahesh,stage-s06 lifecycle-story,"The cross-context saga: quote → proposal → payment → issuance, with compensations for each failure point",,"The cross-context saga: quote → proposal → payment → issuance, with compensations for each failure point"
S06-E03,S06-E03 — Domain invariants and rules placement,Epic,S06 Domain & Information Architecture,,S06-E03,P2,Mahesh + Rajal,stage-s06 lifecycle-epic,,,Epic of stage S06 (Domain & Information Architecture). See docs/application-lifecycle-bible/stages/.
S06-E03-S01,S06-E03-S01 — Catalogue every invariant,Story,S06 Domain & Information Architecture,S06-E03,,P2,Mahesh + Rajal,stage-s06 lifecycle-story,"From the S03 rules catalogue, each mapped to the aggregate that enforces it",,"From the S03 rules catalogue, each mapped to the aggregate that enforces it"
S06-E03-S02,S06-E03-S02 — Place compliance hard-gates,Story,S06 Domain & Information Architecture,S06-E03,,P2,Mahesh + Rajal,stage-s06 lifecycle-story,"Where suitability, consent and attribution are enforced — enforcement point named per control",,"Where suitability, consent and attribution are enforced — enforcement point named per control"
S06-E03-S03,S06-E03-S03 — Define what happens when an invariant is violated,Story,S06 Domain & Information Architecture,S06-E03,,P2,Mahesh + Rajal,stage-s06 lifecycle-story,"Reject, compensate, or escalate — per invariant, not generically",,"Reject, compensate, or escalate — per invariant, not generically"
S06-E03-S04,S06-E03-S04 — Identify cross-aggregate consistency needs,Story,S06 Domain & Information Architecture,S06-E03,,P2,Mahesh + Rajal,stage-s06 lifecycle-story,Where eventual consistency is acceptable and where it is not (money is not),,Where eventual consistency is acceptable and where it is not (money is not)
S06-E04,S06-E04 — Logical data model,Epic,S06 Domain & Information Architecture,,S06-E04,P2,Aarti,stage-s06 lifecycle-epic,,,Epic of stage S06 (Domain & Information Architecture). See docs/application-lifecycle-bible/stages/.
S06-E04-S01,S06-E04-S01 — Build the logical model per context,Story,S06 Domain & Information Architecture,S06-E04,,P2,Aarti,stage-s06 lifecycle-story,"Entities, attributes, keys, relationships, normalised",,"Entities, attributes, keys, relationships, normalised"
S06-E04-S02,S06-E04-S02 — Define the data ownership matrix,Story,S06 Domain & Information Architecture,S06-E04,,P2,Aarti,stage-s06 lifecycle-story,Exactly one context may write each field; others read via contract,,Exactly one context may write each field; others read via contract
S06-E04-S03,S06-E04-S03 — Define data classification at field level,Story,S06 Domain & Information Architecture,S06-E04,,P2,Aarti,stage-s06 lifecycle-story,Every field carries its S02 classification,,Every field carries its S02 classification
S06-E04-S04,S06-E04-S04 — Define reference and master data,Story,S06 Domain & Information Architecture,S06-E04,,P2,Aarti,stage-s06 lifecycle-story,"Product catalogue, insurer, branch, user — source of truth per set",,"Product catalogue, insurer, branch, user — source of truth per set"
S06-E04-S05,S06-E04-S05 — Define the audit data model,Story,S06 Domain & Information Architecture,S06-E04,,P2,Aarti,stage-s06 lifecycle-story,"What an immutable, attributable, reconstructable audit record contains",,"What an immutable, attributable, reconstructable audit record contains"
S06-E05,S06-E05 — Canonical contracts,Epic,S06 Domain & Information Architecture,,S06-E05,P2,Mahesh,stage-s06 lifecycle-epic,,,Epic of stage S06 (Domain & Information Architecture). See docs/application-lifecycle-bible/stages/.
S06-E05-S01,S06-E05-S01 — Define the canonical model,Story,S06 Domain & Information Architecture,S06-E05,,P2,Mahesh,stage-s06 lifecycle-story,"The bank's own model, independent of any provider's API shape",,"The bank's own model, independent of any provider's API shape"
S06-E05-S02,S06-E05-S02 — Define provider translation boundaries,Story,S06 Domain & Information Architecture,S06-E05,,P2,Mahesh,stage-s06 lifecycle-story,"Provider types never leak past the adapter — the existing adapter.onesb.* rule, generalised",,"Provider types never leak past the adapter — the existing adapter.onesb.* rule, generalised"
S06-E05-S03,S06-E05-S03 — Define canonical events,Story,S06 Domain & Information Architecture,S06-E05,,P2,Mahesh,stage-s06 lifecycle-story,"Domain events per aggregate transition, with payload and versioning policy",,"Domain events per aggregate transition, with payload and versioning policy"
S06-VT-01,S06-VT-01 — Contexts are cohesive,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,One reason per context,E3/E4,"Method: For each, ask what would cause it to change. Pass: One reason per context"
S06-VT-02,S06-VT-02 — Aggregate boundaries are right,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,Never more than one,E3/E4,Method: Walk each business transaction; count aggregates it must update atomically. Pass: Never more than one
S06-VT-03,S06-VT-03 — State machines are complete,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,No orphan or dead-end states,E3/E4,Method: Enumerate transitions; check every state is reachable and every non-terminal state has an exit. Pass: No orphan or dead-end states
S06-VT-04,S06-VT-04 — Invariants are enforceable,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,100% placed,E3/E4,"Method: For each, name the code location that will enforce it. Pass: 100% placed"
S06-VT-05,S06-VT-05 — The saga handles failure,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,Every failure has a defined compensation or a defined manual procedure,E3/E4,Method: Walk each failure point in the journey. Pass: Every failure has a defined compensation or a defined manual procedure
S06-VT-06,S06-VT-06 — Data ownership is unambiguous,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,Exactly one answer each,E3/E4,Method: Sample 30 fields; ask which context writes them. Pass: Exactly one answer each
S06-VT-07,S06-VT-07 — Audit model reconstructs a sale,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,Full reconstruction possible,E3/E4,Method: Take a completed journey; reconstruct it from audit records alone. Pass: Full reconstruction possible
S06-VT-08,S06-VT-08 — Canonical model is provider-neutral,Test,S06 Domain & Information Architecture,,,P2,Swapnali / QA,stage-s06 validation-test,No 1SB or insurer vocabulary in the canonical model,E3/E4,Method: Review for provider-shaped concepts. Pass: No 1SB or insurer vocabulary in the canonical model
S06-G1,S06-G1 — Bounded context map with relationships and justifications,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Bounded context map with relationships and justifications,E2,"Evidence artefact: Context map, architecture-reviewed"
S06-G2,S06-G2 — Aggregates with state machines and invariants,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Aggregates with state machines and invariants,E2,Evidence artefact: Domain model document
S06-G3,S06-G3 — Journey saga designed including compensations,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Journey saga designed including compensations,E2,Evidence artefact: Saga design with failure matrix
S06-G4,S06-G4 — Logical data model per context,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Logical data model per context,E2,"Evidence artefact: Data model, signed by Aarti"
S06-G5,S06-G5 — Data ownership matrix complete,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Data ownership matrix complete,E1,Evidence artefact: Ownership matrix
S06-G6,S06-G6 — Compliance hard-gate enforcement points named,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Compliance hard-gate enforcement points named,E2,"Evidence artefact: Control placement map, Compliance-reviewed"
S06-G7,S06-G7 — Audit model proven to reconstruct a journey,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Audit model proven to reconstruct a journey,E3,Evidence artefact: Reconstruction walkthrough record
S06-G8,S06-G8 — Canonical model is provider-neutral,Task,S06 Domain & Information Architecture,,,P1,Kalpana / Delivery,stage-s06 gate-criterion,Canonical model is provider-neutral,E2,Evidence artefact: Architecture review verdict
S07-E01,S07-E01 — Service architecture,Epic,S07 Solution & Security Architecture,,S07-E01,P2,Mahesh,stage-s07 lifecycle-epic,,,Epic of stage S07 (Solution & Security Architecture). See docs/application-lifecycle-bible/stages/.
S07-E01-S01,S07-E01-S01 — Map contexts to deployable services,Story,S07 Solution & Security Architecture,S07-E01,,P2,Mahesh,stage-s07 lifecycle-story,"A context may be a service, part of one, or several — with the reason stated",,"A context may be a service, part of one, or several — with the reason stated"
S07-E01-S02,S07-E01-S02 — Define service responsibilities and boundaries,Story,S07 Solution & Security Architecture,S07-E01,,P2,Mahesh,stage-s07 lifecycle-story,"What each owns, what it must never do",,"What each owns, what it must never do"
S07-E01-S03,S07-E01-S03 — Define the internal architecture pattern,Story,S07 Solution & Security Architecture,S07-E01,,P2,Mahesh,stage-s07 lifecycle-story,"Ports and adapters, layering rules, dependency direction — enforceable by ArchUnit",,"Ports and adapters, layering rules, dependency direction — enforceable by ArchUnit"
S07-E01-S04,S07-E01-S04 — Define the edge architecture,Story,S07 Solution & Security Architecture,S07-E01,,P2,Mahesh,stage-s07 lifecycle-story,BFF per client type; what the edge may and may not do,,BFF per client type; what the edge may and may not do
S07-E01-S05,S07-E01-S05 — Define the build order,Story,S07 Solution & Security Architecture,S07-E01,,P2,Mahesh,stage-s07 lifecycle-story,Which services R0 actually needs — not all nineteen,,Which services R0 actually needs — not all nineteen
S07-E02,S07-E02 — Communication architecture,Epic,S07 Solution & Security Architecture,,S07-E02,P2,Mahesh,stage-s07 lifecycle-epic,,,Epic of stage S07 (Solution & Security Architecture). See docs/application-lifecycle-bible/stages/.
S07-E02-S01,S07-E02-S01 — Decide synchronous vs asynchronous per interaction,Story,S07 Solution & Security Architecture,S07-E02,,P2,Mahesh,stage-s07 lifecycle-story,"Each choice justified by consistency and latency needs, not preference",,"Each choice justified by consistency and latency needs, not preference"
S07-E02-S02,S07-E02-S02 — Define API standards,Story,S07 Solution & Security Architecture,S07-E02,,P2,Mahesh,stage-s07 lifecycle-story,"REST conventions, versioning, pagination, error format, idempotency semantics",,"REST conventions, versioning, pagination, error format, idempotency semantics"
S07-E02-S03,"S07-E02-S03 — Define the event backbone, if any",Story,S07 Solution & Security Architecture,S07-E02,,P2,Mahesh,stage-s07 lifecycle-story,"Whether one is needed for R0; if not, when it becomes needed and what triggers it",,"Whether one is needed for R0; if not, when it becomes needed and what triggers it"
S07-E02-S04,S07-E02-S04 — Define resilience patterns,Story,S07 Solution & Security Architecture,S07-E02,,P2,Mahesh,stage-s07 lifecycle-story,"Timeouts, retries with backoff, circuit breakers, bulkheads — per dependency class",,"Timeouts, retries with backoff, circuit breakers, bulkheads — per dependency class"
S07-E02-S05,S07-E02-S05 — Define idempotency across mutating APIs,Story,S07 Solution & Security Architecture,S07-E02,,P2,Mahesh,stage-s07 lifecycle-story,"Key derivation, storage, retention, and behaviour on replay",,"Key derivation, storage, retention, and behaviour on replay"
S07-E03,S07-E03 — Security architecture,Epic,S07 Solution & Security Architecture,,S07-E03,P2,Deepali,stage-s07 lifecycle-epic,,,Epic of stage S07 (Solution & Security Architecture). See docs/application-lifecycle-bible/stages/.
S07-E03-S01,S07-E03-S01 — Threat model per trust boundary,Story,S07 Solution & Security Architecture,S07-E03,,P2,Deepali,stage-s07 lifecycle-story,STRIDE per boundary; each threat has a mitigation or an accepted risk with an owner,,STRIDE per boundary; each threat has a mitigation or an accepted risk with an owner
S07-E03-S02,S07-E03-S02 — Define the trust boundary and network model,Story,S07 Solution & Security Architecture,S07-E03,,P2,Deepali,stage-s07 lifecycle-story,"Public, DMZ, internal, data zones; what may cross each boundary",,"Public, DMZ, internal, data zones; what may cross each boundary"
S07-E03-S03,S07-E03-S03 — Define the identity architecture,Story,S07 Solution & Security Architecture,S07-E03,,P2,Deepali,stage-s07 lifecycle-story,"Workforce, customer and workload identity; token handling; the BFF token-hiding pattern",,"Workforce, customer and workload identity; token handling; the BFF token-hiding pattern"
